Wall time,Step,Value
1747329061.267612,25,1.999678611755371
1747329078.158251,50,1.776064157485962
1747329095.0438864,75,2.031759738922119
1747329111.937677,100,1.478002905845642
1747329128.8252,125,1.3659478425979614
1747329145.710173,150,1.7184549570083618
1747329162.5936794,175,1.6382479667663574
1747329179.4799929,200,1.6276021003723145
1747329196.3628976,225,1.3390793800354004
1747329213.243523,250,1.7436628341674805
1747329230.1283188,275,1.6135878562927246
1747329247.0221512,300,1.7670685052871704
1747329284.8162684,325,1.1194089651107788
1747329301.691502,350,1.303693413734436
1747329318.5740218,375,1.870736002922058
1747329335.4534926,400,1.387587308883667
1747329352.3342216,425,1.7306263446807861
1747329369.2137554,450,2.115325927734375
1747329386.092366,475,1.706479787826538
1747329402.9701908,500,1.5403141975402832
1747329419.85478,525,1.830588936805725
1747329436.735708,550,1.8014094829559326
1747329453.621412,575,1.5807865858078003
1747329470.502678,600,1.637658953666687
1747329487.3864222,625,1.6890003681182861
1747329525.1759138,650,1.456801176071167
1747329542.0212932,675,1.4713412523269653
1747329558.8626394,700,1.9820598363876343
1747329575.7049894,725,1.7576134204864502
1747329592.5460238,750,1.3648319244384766
1747329609.390617,775,1.7603429555892944
1747329626.2315447,800,1.7424896955490112
1747329643.075176,825,1.5659451484680176
1747329659.9141345,850,1.5856072902679443
1747329676.7503278,875,1.596848487854004
1747329693.585322,900,2.466540813446045
1747329710.4266977,925,2.0647764205932617
1747329748.2363796,950,1.739168405532837
1747329765.1342268,975,1.6738317012786865
1747329782.0250983,1000,2.1664187908172607
1747329798.916032,1025,1.9601150751113892
1747329815.808685,1050,1.4924269914627075
1747329832.701665,1075,1.665579915046692
1747329849.6005294,1100,1.7442686557769775
1747329866.4903288,1125,1.6038786172866821
1747329883.3850486,1150,1.8106871843338013
1747329900.2824972,1175,1.8013882637023926
1747329917.1844134,1200,1.454094648361206
1747329934.029928,1225,1.6956790685653687
1747329950.8737836,1250,1.7627699375152588
1747329988.5677881,1275,1.649821400642395
1747330005.4533172,1300,1.9210141897201538
1747330022.3388052,1325,1.9851126670837402
1747330039.2229643,1350,1.7967342138290405
1747330056.1105354,1375,1.5768423080444336
1747330072.9974658,1400,1.871372103691101
1747330089.887554,1425,1.982709288597107
1747330106.7720485,1450,1.7058223485946655
1747330123.6582155,1475,1.8298423290252686
1747330140.5469909,1500,2.0384063720703125
1747330157.435859,1525,1.7425429821014404
1747330174.32421,1550,1.7064114809036255
1747330212.2582967,1575,1.7792726755142212
1747330229.1347778,1600,1.944399118423462
1747330246.0079107,1625,2.4059574604034424
1747330262.8936458,1650,1.7156405448913574
1747330279.770938,1675,1.840543270111084
1747330296.643527,1700,1.904111623764038
1747330313.523701,1725,1.8805447816848755
1747330330.4019346,1750,1.835375428199768
1747330347.277784,1775,2.007704973220825
1747330364.1533122,1800,2.1802783012390137
1747330381.0305953,1825,1.8897531032562256
1747330397.9094365,1850,2.2167131900787354
1747330414.7872307,1875,2.0390615463256836
1747330453.3331506,1900,1.886230230331421
1747330470.2007694,1925,2.232724905014038
1747330487.0483828,1950,1.87399160861969
1747330503.9017193,1975,2.328559398651123
1747330520.7476647,2000,1.6909476518630981
1747330537.5908349,2025,2.1113901138305664
1747330554.4333036,2050,1.850951075553894
1747330571.3018079,2075,2.371424913406372
1747330588.1739001,2100,1.8506165742874146
1747330605.047247,2125,2.1025772094726562
1747330621.9317105,2150,1.9250260591506958
1747330638.810319,2175,2.3661274909973145
