TRANSFORMERS_CACHE: /data/transformers_cache
HF_HOME: /data/huggingface
HUGGINGFACE_HUB_CACHE: /data/huggingface/hub
HF_DATASETS_CACHE: /data/hf_datasets_cache
TMPDIR: /data/tmp
Input IDs:  [2, 17449, 540, 557, 695, 14740, 4115, 43767, 81876, 1016, 209764, 939, 42296, 139669, 723, 31940, 82969, 3172, 191386, 236764, 148840, 5399, 6947, 29777, 547, 530, 12189, 4586, 76773, 556, 163211, 4404, 118618, 4315, 31828, 13548, 162041, 69176, 237448, 236761, 107, 236780, 543, 98361, 38121, 8153, 241271, 3862, 29271, 5224, 203999, 21538, 25991, 236770, 236768, 5361, 2518, 145578, 1737, 236758, 45293, 3621, 25991, 236778, 236768, 723, 58507, 7892, 703, 673, 1474, 79334, 9031, 222283, 3306, 32627, 951, 636, 3203, 25991, 236800, 236768, 106150, 8153, 511, 58507, 236751, 3085, 150961, 15889, 236812, 236768, 107, 236769, 236770, 236768, 13877, 2139, 657, 148911, 4857, 237993, 54511, 727, 31828, 236761, 107, 236769, 236778, 236768, 13877, 2139, 657, 148911, 61991, 236752, 237993, 24134, 237993, 18500, 926, 727, 8931, 1776, 240050, 527, 236761, 107, 236769, 236800, 236768, 13877, 2139, 657, 148911, 61991, 236752, 237993, 24134, 237993, 18500, 926, 727, 8931, 1776, 240050, 527, 236761, 107, 236769, 236812, 236768, 57794, 1412, 6271, 197933, 926, 727, 8931, 577, 68395, 236761, 262145, 262145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Labels:  [2, 17449, 540, 557, 695, 14740, 4115, 43767, 81876, 1016, 209764, 939, 42296, 139669, 723, 31940, 82969, 3172, 191386, 236764, 148840, 5399, 6947, 29777, 547, 530, 12189, 4586, 76773, 556, 163211, 4404, 118618, 4315, 31828, 13548, 162041, 69176, 237448, 236761, 107, 236780, 543, 98361, 38121, 8153, 241271, 3862, 29271, 5224, 203999, 21538, 25991, 236770, 236768, 5361, 2518, 145578, 1737, 236758, 45293, 3621, 25991, 236778, 236768, 723, 58507, 7892, 703, 673, 1474, 79334, 9031, 222283, 3306, 32627, 951, 636, 3203, 25991, 236800, 236768, 106150, 8153, 511, 58507, 236751, 3085, 150961, 15889, 236812, 236768, 107, 236769, 236770, 236768, 13877, 2139, 657, 148911, 4857, 237993, 54511, 727, 31828, 236761, 107, 236769, 236778, 236768, 13877, 2139, 657, 148911, 61991, 236752, 237993, 24134, 237993, 18500, 926, 727, 8931, 1776, 240050, 527, 236761, 107, 236769, 236800, 236768, 13877, 2139, 657, 148911, 61991, 236752, 237993, 24134, 237993, 18500, 926, 727, 8931, 1776, 240050, 527, 236761, 107, 236769, 236812, 236768, 57794, 1412, 6271, 197933, 926, 727, 8931, 577, 68395, 236761, 262145, 262145, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100]
Valid Label Tokens:  [2, 17449, 540, 557, 695, 14740, 4115, 43767, 81876, 1016, 209764, 939, 42296, 139669, 723, 31940, 82969, 3172, 191386, 236764, 148840, 5399, 6947, 29777, 547, 530, 12189, 4586, 76773, 556, 163211, 4404, 118618, 4315, 31828, 13548, 162041, 69176, 237448, 236761, 107, 236780, 543, 98361, 38121, 8153, 241271, 3862, 29271, 5224, 203999, 21538, 25991, 236770, 236768, 5361, 2518, 145578, 1737, 236758, 45293, 3621, 25991, 236778, 236768, 723, 58507, 7892, 703, 673, 1474, 79334, 9031, 222283, 3306, 32627, 951, 636, 3203, 25991, 236800, 236768, 106150, 8153, 511, 58507, 236751, 3085, 150961, 15889, 236812, 236768, 107, 236769, 236770, 236768, 13877, 2139, 657, 148911, 4857, 237993, 54511, 727, 31828, 236761, 107, 236769, 236778, 236768, 13877, 2139, 657, 148911, 61991, 236752, 237993, 24134, 237993, 18500, 926, 727, 8931, 1776, 240050, 527, 236761, 107, 236769, 236800, 236768, 13877, 2139, 657, 148911, 61991, 236752, 237993, 24134, 237993, 18500, 926, 727, 8931, 1776, 240050, 527, 236761, 107, 236769, 236812, 236768, 57794, 1412, 6271, 197933, 926, 727, 8931, 577, 68395, 236761, 262145, 262145]
262145
<|endoftext|>
{'loss': 10.5062, 'grad_norm': 6.000691890716553, 'learning_rate': 1.9780219780219784e-05, 'epoch': 0.08}
{'loss': 7.8042, 'grad_norm': 3.706493377685547, 'learning_rate': 1.9551282051282052e-05, 'epoch': 0.16}
{'loss': 6.0526, 'grad_norm': 3.503516674041748, 'learning_rate': 1.9322344322344324e-05, 'epoch': 0.24}
{'loss': 5.0475, 'grad_norm': 2.996983528137207, 'learning_rate': 1.9093406593406596e-05, 'epoch': 0.32}
{'loss': 4.3835, 'grad_norm': 2.488001823425293, 'learning_rate': 1.8864468864468864e-05, 'epoch': 0.4}
{'loss': 4.2834, 'grad_norm': 3.4029290676116943, 'learning_rate': 1.8635531135531136e-05, 'epoch': 0.48}
{'loss': 4.1677, 'grad_norm': 3.3167378902435303, 'learning_rate': 1.8406593406593408e-05, 'epoch': 0.56}
{'loss': 4.1255, 'grad_norm': 3.092386484146118, 'learning_rate': 1.817765567765568e-05, 'epoch': 0.64}
{'loss': 3.932, 'grad_norm': 3.464803457260132, 'learning_rate': 1.794871794871795e-05, 'epoch': 0.72}
{'loss': 3.8637, 'grad_norm': 3.573176622390747, 'learning_rate': 1.771978021978022e-05, 'epoch': 0.8}
{'loss': 3.6529, 'grad_norm': 5.1744704246521, 'learning_rate': 1.749084249084249e-05, 'epoch': 0.88}
{'loss': 3.4499, 'grad_norm': 3.8695366382598877, 'learning_rate': 1.7261904761904763e-05, 'epoch': 0.96}
{'eval_loss': 0.8249654173851013, 'eval_runtime': 39.1893, 'eval_samples_per_second': 7.655, 'eval_steps_per_second': 3.828, 'epoch': 1.0}
{'loss': 3.2499, 'grad_norm': 2.63910174369812, 'learning_rate': 1.7032967032967035e-05, 'epoch': 1.04}
{'loss': 3.2402, 'grad_norm': 3.295325994491577, 'learning_rate': 1.6804029304029306e-05, 'epoch': 1.12}
{'loss': 3.2255, 'grad_norm': 3.351832151412964, 'learning_rate': 1.6575091575091578e-05, 'epoch': 1.2}
{'loss': 3.253, 'grad_norm': 3.5523316860198975, 'learning_rate': 1.6346153846153847e-05, 'epoch': 1.28}
{'loss': 3.0629, 'grad_norm': 3.7560083866119385, 'learning_rate': 1.6117216117216118e-05, 'epoch': 1.36}
{'loss': 3.2154, 'grad_norm': 5.125069618225098, 'learning_rate': 1.588827838827839e-05, 'epoch': 1.44}
{'loss': 2.9779, 'grad_norm': 3.5595715045928955, 'learning_rate': 1.5659340659340662e-05, 'epoch': 1.52}
{'loss': 3.0874, 'grad_norm': 3.0563995838165283, 'learning_rate': 1.5430402930402934e-05, 'epoch': 1.6}
{'loss': 2.9771, 'grad_norm': 3.4443860054016113, 'learning_rate': 1.5201465201465202e-05, 'epoch': 1.68}
{'loss': 2.9885, 'grad_norm': 3.5797200202941895, 'learning_rate': 1.4972527472527474e-05, 'epoch': 1.76}
{'loss': 3.0946, 'grad_norm': 3.5879621505737305, 'learning_rate': 1.4743589743589745e-05, 'epoch': 1.84}
{'loss': 2.971, 'grad_norm': 3.16378116607666, 'learning_rate': 1.4514652014652015e-05, 'epoch': 1.92}
{'loss': 2.9953, 'grad_norm': 4.288341522216797, 'learning_rate': 1.4285714285714287e-05, 'epoch': 2.0}
{'eval_loss': 0.7331360578536987, 'eval_runtime': 39.3088, 'eval_samples_per_second': 7.632, 'eval_steps_per_second': 3.816, 'epoch': 2.0}
{'loss': 2.8935, 'grad_norm': 2.814063310623169, 'learning_rate': 1.4056776556776557e-05, 'epoch': 2.08}
{'loss': 2.9285, 'grad_norm': 3.129070281982422, 'learning_rate': 1.3827838827838829e-05, 'epoch': 2.16}
{'loss': 2.8656, 'grad_norm': 4.25216007232666, 'learning_rate': 1.35989010989011e-05, 'epoch': 2.24}
{'loss': 2.9725, 'grad_norm': 4.266389846801758, 'learning_rate': 1.336996336996337e-05, 'epoch': 2.32}
{'loss': 2.8428, 'grad_norm': 3.5352776050567627, 'learning_rate': 1.3141025641025642e-05, 'epoch': 2.4}
{'loss': 3.0, 'grad_norm': 3.4355568885803223, 'learning_rate': 1.2912087912087914e-05, 'epoch': 2.48}
{'loss': 2.9191, 'grad_norm': 3.6402621269226074, 'learning_rate': 1.2683150183150184e-05, 'epoch': 2.56}
{'loss': 2.9732, 'grad_norm': 3.5635015964508057, 'learning_rate': 1.2454212454212456e-05, 'epoch': 2.64}
{'loss': 2.8639, 'grad_norm': 3.9901070594787598, 'learning_rate': 1.2225274725274728e-05, 'epoch': 2.72}
{'loss': 2.9725, 'grad_norm': 3.8877949714660645, 'learning_rate': 1.1996336996336996e-05, 'epoch': 2.8}
{'loss': 2.8927, 'grad_norm': 6.353127956390381, 'learning_rate': 1.176739926739927e-05, 'epoch': 2.88}
{'loss': 2.7307, 'grad_norm': 3.6065804958343506, 'learning_rate': 1.1538461538461538e-05, 'epoch': 2.96}
{'eval_loss': 0.7209838628768921, 'eval_runtime': 39.4909, 'eval_samples_per_second': 7.597, 'eval_steps_per_second': 3.798, 'epoch': 3.0}
{'loss': 2.7994, 'grad_norm': 3.1175646781921387, 'learning_rate': 1.130952380952381e-05, 'epoch': 3.04}
{'loss': 2.9547, 'grad_norm': 4.213747978210449, 'learning_rate': 1.1080586080586081e-05, 'epoch': 3.12}
{'loss': 2.8652, 'grad_norm': 4.768741607666016, 'learning_rate': 1.0851648351648351e-05, 'epoch': 3.2}
