TRANSFORMERS_CACHE: /data/transformers_cache
HF_HOME: /data/huggingface
HUGGINGFACE_HUB_CACHE: /data/huggingface/hub
HF_DATASETS_CACHE: /data/hf_datasets_cache
TMPDIR: /data/tmp
Adding a distinct [PAD] token
Input IDs:  [128000, 38989, 267, 354, 552, 45576, 6987, 64519, 11906, 84, 1062, 347, 300, 48371, 3200, 66, 3251, 300, 653, 43329, 587, 9459, 3208, 25330, 336, 11, 10044, 104, 6455, 22924, 4991, 3864, 299, 45356, 13075, 281, 3978, 324, 89, 61711, 9004, 908, 11269, 73, 84309, 13046, 1662, 31757, 73678, 31757, 627, 34, 321, 85, 79083, 74, 309, 37524, 128, 115, 3978, 87272, 11427, 31757, 8747, 52314, 13247, 16, 8, 16909, 3355, 129, 228, 11906, 2145, 79, 31757, 81, 6348, 13247, 17, 8, 653, 1488, 437, 1073, 3267, 648, 503, 2784, 31757, 73, 25330, 21236, 300, 7251, 105112, 912, 513, 2749, 13247, 18, 8, 259, 31757, 37524, 285, 1488, 437, 37181, 4824, 31757, 5697, 13127, 19, 340, 7, 16, 8, 27790, 1900, 125619, 6181, 11091, 61711, 56167, 1609, 84309, 627, 7, 17, 8, 27790, 1900, 125619, 6181, 3355, 268, 75, 61711, 38977, 61711, 40625, 1028, 1609, 13722, 3067, 128, 120, 300, 627, 7, 18, 8, 27790, 1900, 125619, 6181, 3355, 268, 75, 61711, 38977, 61711, 40625, 1028, 1609, 13722, 3067, 128, 120, 300, 627, 7, 19, 8, 52433, 2641, 6463, 31757, 3315, 1028, 1609, 13722, 387, 343, 300, 13, 128256, 128256, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257, 128257]
Labels:  [128000, 38989, 267, 354, 552, 45576, 6987, 64519, 11906, 84, 1062, 347, 300, 48371, 3200, 66, 3251, 300, 653, 43329, 587, 9459, 3208, 25330, 336, 11, 10044, 104, 6455, 22924, 4991, 3864, 299, 45356, 13075, 281, 3978, 324, 89, 61711, 9004, 908, 11269, 73, 84309, 13046, 1662, 31757, 73678, 31757, 627, 34, 321, 85, 79083, 74, 309, 37524, 128, 115, 3978, 87272, 11427, 31757, 8747, 52314, 13247, 16, 8, 16909, 3355, 129, 228, 11906, 2145, 79, 31757, 81, 6348, 13247, 17, 8, 653, 1488, 437, 1073, 3267, 648, 503, 2784, 31757, 73, 25330, 21236, 300, 7251, 105112, 912, 513, 2749, 13247, 18, 8, 259, 31757, 37524, 285, 1488, 437, 37181, 4824, 31757, 5697, 13127, 19, 340, 7, 16, 8, 27790, 1900, 125619, 6181, 11091, 61711, 56167, 1609, 84309, 627, 7, 17, 8, 27790, 1900, 125619, 6181, 3355, 268, 75, 61711, 38977, 61711, 40625, 1028, 1609, 13722, 3067, 128, 120, 300, 627, 7, 18, 8, 27790, 1900, 125619, 6181, 3355, 268, 75, 61711, 38977, 61711, 40625, 1028, 1609, 13722, 3067, 128, 120, 300, 627, 7, 19, 8, 52433, 2641, 6463, 31757, 3315, 1028, 1609, 13722, 387, 343, 300, 13, 128256, 128256, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100]
Valid Label Tokens:  [128000, 38989, 267, 354, 552, 45576, 6987, 64519, 11906, 84, 1062, 347, 300, 48371, 3200, 66, 3251, 300, 653, 43329, 587, 9459, 3208, 25330, 336, 11, 10044, 104, 6455, 22924, 4991, 3864, 299, 45356, 13075, 281, 3978, 324, 89, 61711, 9004, 908, 11269, 73, 84309, 13046, 1662, 31757, 73678, 31757, 627, 34, 321, 85, 79083, 74, 309, 37524, 128, 115, 3978, 87272, 11427, 31757, 8747, 52314, 13247, 16, 8, 16909, 3355, 129, 228, 11906, 2145, 79, 31757, 81, 6348, 13247, 17, 8, 653, 1488, 437, 1073, 3267, 648, 503, 2784, 31757, 73, 25330, 21236, 300, 7251, 105112, 912, 513, 2749, 13247, 18, 8, 259, 31757, 37524, 285, 1488, 437, 37181, 4824, 31757, 5697, 13127, 19, 340, 7, 16, 8, 27790, 1900, 125619, 6181, 11091, 61711, 56167, 1609, 84309, 627, 7, 17, 8, 27790, 1900, 125619, 6181, 3355, 268, 75, 61711, 38977, 61711, 40625, 1028, 1609, 13722, 3067, 128, 120, 300, 627, 7, 18, 8, 27790, 1900, 125619, 6181, 3355, 268, 75, 61711, 38977, 61711, 40625, 1028, 1609, 13722, 3067, 128, 120, 300, 627, 7, 19, 8, 52433, 2641, 6463, 31757, 3315, 1028, 1609, 13722, 387, 343, 300, 13, 128256, 128256]
128256
<|endoftext|>
{'loss': 2.6717, 'grad_norm': 1.999678611755371, 'learning_rate': 1.9780219780219784e-05, 'epoch': 0.08}
{'loss': 2.0962, 'grad_norm': 1.776064157485962, 'learning_rate': 1.9551282051282052e-05, 'epoch': 0.16}
{'loss': 1.5932, 'grad_norm': 2.031759738922119, 'learning_rate': 1.9322344322344324e-05, 'epoch': 0.24}
{'loss': 1.3251, 'grad_norm': 1.478002905845642, 'learning_rate': 1.9093406593406596e-05, 'epoch': 0.32}
{'loss': 1.1382, 'grad_norm': 1.3659478425979614, 'learning_rate': 1.8864468864468864e-05, 'epoch': 0.4}
{'loss': 1.1041, 'grad_norm': 1.7184549570083618, 'learning_rate': 1.8635531135531136e-05, 'epoch': 0.48}
{'loss': 1.0675, 'grad_norm': 1.6382479667663574, 'learning_rate': 1.8406593406593408e-05, 'epoch': 0.56}
{'loss': 1.0543, 'grad_norm': 1.6276021003723145, 'learning_rate': 1.817765567765568e-05, 'epoch': 0.64}
{'loss': 1.0213, 'grad_norm': 1.3390793800354004, 'learning_rate': 1.794871794871795e-05, 'epoch': 0.72}
{'loss': 1.0237, 'grad_norm': 1.7436628341674805, 'learning_rate': 1.771978021978022e-05, 'epoch': 0.8}
{'loss': 1.0203, 'grad_norm': 1.6135878562927246, 'learning_rate': 1.749084249084249e-05, 'epoch': 0.88}
{'loss': 1.0181, 'grad_norm': 1.7670685052871704, 'learning_rate': 1.7261904761904763e-05, 'epoch': 0.96}
{'eval_loss': 1.0022389888763428, 'eval_runtime': 13.2556, 'eval_samples_per_second': 22.632, 'eval_steps_per_second': 11.316, 'epoch': 1.0}
{'loss': 1.0029, 'grad_norm': 1.1194089651107788, 'learning_rate': 1.7032967032967035e-05, 'epoch': 1.04}
{'loss': 0.976, 'grad_norm': 1.303693413734436, 'learning_rate': 1.6804029304029306e-05, 'epoch': 1.12}
{'loss': 0.9881, 'grad_norm': 1.870736002922058, 'learning_rate': 1.6575091575091578e-05, 'epoch': 1.2}
{'loss': 0.9914, 'grad_norm': 1.387587308883667, 'learning_rate': 1.6346153846153847e-05, 'epoch': 1.28}
{'loss': 0.9672, 'grad_norm': 1.7306263446807861, 'learning_rate': 1.6117216117216118e-05, 'epoch': 1.36}
{'loss': 1.0113, 'grad_norm': 2.115325927734375, 'learning_rate': 1.588827838827839e-05, 'epoch': 1.44}
{'loss': 0.9436, 'grad_norm': 1.706479787826538, 'learning_rate': 1.5659340659340662e-05, 'epoch': 1.52}
{'loss': 0.9873, 'grad_norm': 1.5403141975402832, 'learning_rate': 1.5430402930402934e-05, 'epoch': 1.6}
{'loss': 0.9669, 'grad_norm': 1.830588936805725, 'learning_rate': 1.5201465201465202e-05, 'epoch': 1.68}
{'loss': 0.9693, 'grad_norm': 1.8014094829559326, 'learning_rate': 1.4972527472527474e-05, 'epoch': 1.76}
{'loss': 1.0026, 'grad_norm': 1.5807865858078003, 'learning_rate': 1.4743589743589745e-05, 'epoch': 1.84}
{'loss': 0.9698, 'grad_norm': 1.637658953666687, 'learning_rate': 1.4514652014652015e-05, 'epoch': 1.92}
{'loss': 0.9712, 'grad_norm': 1.6890003681182861, 'learning_rate': 1.4285714285714287e-05, 'epoch': 2.0}
{'eval_loss': 0.9665580987930298, 'eval_runtime': 13.2553, 'eval_samples_per_second': 22.632, 'eval_steps_per_second': 11.316, 'epoch': 2.0}
{'loss': 0.9639, 'grad_norm': 1.456801176071167, 'learning_rate': 1.4056776556776557e-05, 'epoch': 2.08}
{'loss': 0.9575, 'grad_norm': 1.4713412523269653, 'learning_rate': 1.3827838827838829e-05, 'epoch': 2.16}
{'loss': 0.9378, 'grad_norm': 1.9820598363876343, 'learning_rate': 1.35989010989011e-05, 'epoch': 2.24}
{'loss': 0.9653, 'grad_norm': 1.7576134204864502, 'learning_rate': 1.336996336996337e-05, 'epoch': 2.32}
{'loss': 0.9416, 'grad_norm': 1.3648319244384766, 'learning_rate': 1.3141025641025642e-05, 'epoch': 2.4}
{'loss': 0.9771, 'grad_norm': 1.7603429555892944, 'learning_rate': 1.2912087912087914e-05, 'epoch': 2.48}
{'loss': 0.9509, 'grad_norm': 1.7424896955490112, 'learning_rate': 1.2683150183150184e-05, 'epoch': 2.56}
{'loss': 0.9816, 'grad_norm': 1.5659451484680176, 'learning_rate': 1.2454212454212456e-05, 'epoch': 2.64}
{'loss': 0.9339, 'grad_norm': 1.5856072902679443, 'learning_rate': 1.2225274725274728e-05, 'epoch': 2.72}
{'loss': 0.954, 'grad_norm': 1.596848487854004, 'learning_rate': 1.1996336996336996e-05, 'epoch': 2.8}
{'loss': 0.9368, 'grad_norm': 2.466540813446045, 'learning_rate': 1.176739926739927e-05, 'epoch': 2.88}
{'loss': 0.9159, 'grad_norm': 2.0647764205932617, 'learning_rate': 1.1538461538461538e-05, 'epoch': 2.96}
{'eval_loss': 0.9461051225662231, 'eval_runtime': 13.2486, 'eval_samples_per_second': 22.644, 'eval_steps_per_second': 11.322, 'epoch': 3.0}
{'loss': 0.9358, 'grad_norm': 1.739168405532837, 'learning_rate': 1.130952380952381e-05, 'epoch': 3.04}
{'loss': 0.9496, 'grad_norm': 1.6738317012786865, 'learning_rate': 1.1080586080586081e-05, 'epoch': 3.12}
{'loss': 0.9398, 'grad_norm': 2.1664187908172607, 'learning_rate': 1.0851648351648351e-05, 'epoch': 3.2}
{'loss': 0.9397, 'grad_norm': 1.9601150751113892, 'learning_rate': 1.0622710622710623e-05, 'epoch': 3.28}
